date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:11:49	2014/2014	---MCZ	200	added ('OK')	application/javascript	etag:W/%22af22e8e6653979e87895f791cbaa1a31%22	https://userapp.zyrosite.com/v21/js/chunk-159796f8.d1ada38b.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-159796f8.d1ada38b.js	(from https://omegatournaments.zyrosite.com/)
02:11:51	4302/4302	---MCZ	200	added ('OK')	application/javascript	etag:W/%22497a3d8a7663a433ce08ed7ffa47e194%22	https://userapp.zyrosite.com/v21/js/chunk-17a83cc8.23937a00.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-17a83cc8.23937a00.js	(from https://omegatournaments.zyrosite.com/)
02:11:52	1932/1932	---MCZ	200	added ('OK')	application/javascript	etag:W/%22745f72e0b14e8eec3b796835a11ab0bc%22	https://userapp.zyrosite.com/v21/js/chunk-19ca1a3a.ac07e25a.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-19ca1a3a.ac07e25a.js	(from https://omegatournaments.zyrosite.com/)
02:11:53	2769/2769	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6f7b2c36709f5ed9a92bc96273cce74%22	https://userapp.zyrosite.com/v21/js/chunk-26c2f05e.2e03d137.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-26c2f05e.2e03d137.js	(from https://omegatournaments.zyrosite.com/)
02:11:54	4626/4626	---MCZ	200	added ('OK')	application/javascript	etag:W/%2242f21a0b693b7ab8343b0ba7b5d0c03c%22	https://userapp.zyrosite.com/v21/js/chunk-29eedb78.fbb95bdb.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-29eedb78.fbb95bdb.js	(from https://omegatournaments.zyrosite.com/)
02:11:55	980/980	---MCZ	200	added ('OK')	application/javascript	etag:W/%22018a82f9cdadb1a8f869425b64046791%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a34fb.76009481.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a34fb.76009481.js	(from https://omegatournaments.zyrosite.com/)
02:11:55	514/514	---MCZ	200	added ('OK')	application/javascript	etag:W/%2236c03b51592fe4e2fd648098bc6093f3%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a3c79.f2f6c169.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a3c79.f2f6c169.js	(from https://omegatournaments.zyrosite.com/)
02:11:57	893/893	---MCZ	200	added ('OK')	application/javascript	etag:W/%22baf41caca63a64786e8f7116359a5ec6%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a4746.f5e33b1b.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a4746.f5e33b1b.js	(from https://omegatournaments.zyrosite.com/)
02:11:57	630/630	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202e6f0b5add27c09af4664e7b14eddec%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a4f79.4af19a9b.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a4f79.4af19a9b.js	(from https://omegatournaments.zyrosite.com/)
02:11:59	1151/1151	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250713ed8aa6a2a8d261779eb33cdb7e8%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a551d.72f1ff8b.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a551d.72f1ff8b.js	(from https://omegatournaments.zyrosite.com/)
